timestamp,fairBasis
2020-12-07 04:00:01.405322597+00:00,1.93
2020-12-07 04:00:30.486605265+00:00,4.15
2020-12-07 04:01:00.480625934+00:00,4.14
2020-12-07 04:02:00.470776702+00:00,4.13
2020-12-07 04:03:00.482391895+00:00,4.12
2020-12-07 04:04:00.471664607+00:00,4.11
2020-12-07 04:05:00.499377335+00:00,4.1
2020-12-07 04:06:00.467616004+00:00,4.09
2020-12-07 04:06:50.490546245+00:00,4.1
2020-12-07 04:07:00.471901922+00:00,4.09
2020-12-07 04:08:00.483908986+00:00,4.08
2020-12-07 04:09:00.479032220+00:00,4.07
2020-12-07 04:10:00.510048512+00:00,4.06
2020-12-07 04:11:00.477521627+00:00,4.05
2020-12-07 04:12:00.485385741+00:00,4.04
2020-12-07 04:13:00.484163247+00:00,4.03
2020-12-07 04:14:00.495830342+00:00,4.02
2020-12-07 04:15:00.485758967+00:00,4.01
2020-12-07 04:16:20.473770738+00:00,4.0
2020-12-07 04:18:00.482263375+00:00,3.99
2020-12-07 04:19:00.482605601+00:00,3.98
2020-12-07 04:20:00.496821068+00:00,3.97
2020-12-07 04:21:00.487663620+00:00,3.96
2020-12-07 04:22:00.496628822+00:00,3.95
2020-12-07 04:24:00.501634173+00:00,3.94
2020-12-07 04:25:00.489632072+00:00,3.93
2020-12-07 04:26:00.488275574+00:00,3.92
2020-12-07 04:27:00.499264809+00:00,3.91
2020-12-07 04:28:00.494626424+00:00,3.9
2020-12-07 04:29:00.508544895+00:00,3.89
2020-12-07 04:30:00.501568504+00:00,3.88
2020-12-07 04:31:00.436224752+00:00,3.87
2020-12-07 04:32:00.509965553+00:00,3.86
2020-12-07 04:33:00.475277974+00:00,3.85
2020-12-07 04:33:20.485801989+00:00,3.86
2020-12-07 04:34:00.493266556+00:00,3.85
2020-12-07 04:35:00.490073377+00:00,3.84
2020-12-07 04:36:00.520980114+00:00,3.83
2020-12-07 04:37:00.503261640+00:00,3.82
2020-12-07 04:38:00.488486928+00:00,3.81
2020-12-07 04:38:40.469938655+00:00,3.82
2020-12-07 04:38:50.496532712+00:00,3.81
2020-12-07 04:40:00.507695072+00:00,3.8
2020-12-07 04:41:00.503166106+00:00,3.79
2020-12-07 04:42:00.495590198+00:00,3.78
2020-12-07 04:43:00.513181006+00:00,3.77
2020-12-07 04:44:00.497037625+00:00,3.76
2020-12-07 04:46:00.491730817+00:00,3.75
2020-12-07 04:47:00.519970367+00:00,3.74
2020-12-07 04:48:00.502538205+00:00,3.73
2020-12-07 04:49:00.503440977+00:00,3.72
2020-12-07 04:49:05.507287502+00:00,3.73
2020-12-07 04:50:00.479134481+00:00,3.72
2020-12-07 04:51:00.471045300+00:00,3.71
2020-12-07 04:52:00.486382163+00:00,3.7
2020-12-07 04:53:00.488477640+00:00,3.69
2020-12-07 04:54:00.464064459+00:00,3.68
2020-12-07 04:55:00.535397977+00:00,3.67
2020-12-07 04:55:40.495831791+00:00,3.68
2020-12-07 04:55:45.483160719+00:00,3.67
2020-12-07 04:55:50.481947173+00:00,3.68
2020-12-07 04:56:00.484269207+00:00,3.67
2020-12-07 04:57:00.487465250+00:00,3.66
2020-12-07 04:58:00.476758155+00:00,3.65
2020-12-07 04:59:00.496898287+00:00,3.64
2020-12-07 05:00:00.893040995+00:00,3.63
2020-12-07 05:01:00.485749255+00:00,3.62
2020-12-07 05:02:00.481634176+00:00,3.61
2020-12-07 05:03:00.496344881+00:00,3.6
2020-12-07 05:04:00.479618682+00:00,3.59
2020-12-07 05:06:00.479945540+00:00,3.58
2020-12-07 05:07:00.482163332+00:00,3.57
2020-12-07 05:08:00.481996718+00:00,3.56
2020-12-07 05:09:00.421161556+00:00,3.55
2020-12-07 05:10:00.478790918+00:00,3.54
2020-12-07 05:11:00.473812953+00:00,3.53
2020-12-07 05:12:10.466862746+00:00,3.52
2020-12-07 05:12:30.467981609+00:00,3.53
2020-12-07 05:13:00.481380012+00:00,3.52
2020-12-07 05:14:00.472578749+00:00,3.51
2020-12-07 05:15:00.471398322+00:00,3.5
2020-12-07 05:16:00.485809672+00:00,3.49
2020-12-07 05:17:00.484011327+00:00,3.48
2020-12-07 05:18:00.413677388+00:00,3.47
2020-12-07 05:19:00.470910318+00:00,3.46
2020-12-07 05:20:00.467511768+00:00,3.45
2020-12-07 05:21:00.496251600+00:00,3.44
2020-12-07 05:22:00.463281575+00:00,3.43
2020-12-07 05:23:00.480030328+00:00,3.42
2020-12-07 05:23:55.459986139+00:00,3.43
2020-12-07 05:24:00.502283628+00:00,3.42
2020-12-07 05:25:00.488693450+00:00,3.41
2020-12-07 05:26:00.468363015+00:00,3.4
2020-12-07 05:27:00.464049850+00:00,3.39
2020-12-07 05:28:00.486299905+00:00,3.38
2020-12-07 05:28:35.496120794+00:00,3.39
2020-12-07 05:29:00.507921956+00:00,3.38
2020-12-07 05:30:00.433185114+00:00,3.37
2020-12-07 05:31:00.477363933+00:00,3.36
2020-12-07 05:32:00.463099511+00:00,3.35
2020-12-07 05:33:00.473663670+00:00,3.34
2020-12-07 05:33:05.460016110+00:00,3.35
2020-12-07 05:33:25.478096123+00:00,3.34
2020-12-07 05:33:35.488445730+00:00,3.35
2020-12-07 05:34:00.464942535+00:00,3.34
2020-12-07 05:35:00.485249324+00:00,3.33
2020-12-07 05:36:00.483075611+00:00,3.32
2020-12-07 05:37:00.474887357+00:00,3.31
2020-12-07 05:38:00.478135632+00:00,3.3
2020-12-07 05:39:00.473322641+00:00,3.29
2020-12-07 05:40:00.502453719+00:00,3.28
2020-12-07 05:41:05.478184607+00:00,3.27
2020-12-07 05:41:10.491028352+00:00,3.28
2020-12-07 05:41:35.487984996+00:00,3.27
2020-12-07 05:42:10.467357+00:00,3.26
2020-12-07 05:42:35.466160799+00:00,3.27
2020-12-07 05:42:40.464646561+00:00,3.26
2020-12-07 05:44:00.472691422+00:00,3.25
2020-12-07 05:45:00.487511269+00:00,3.24
2020-12-07 05:46:00.478091291+00:00,3.23
2020-12-07 05:47:00.511563880+00:00,3.22
2020-12-07 05:48:00.492069972+00:00,3.21
2020-12-07 05:49:00.466532246+00:00,3.2
2020-12-07 05:50:00.472150085+00:00,3.19
2020-12-07 05:51:00.485324488+00:00,3.18
2020-12-07 05:52:10.475635166+00:00,3.17
2020-12-07 05:54:00.480501992+00:00,3.16
2020-12-07 05:55:00.479151227+00:00,3.15
2020-12-07 05:56:00.483147073+00:00,3.14
2020-12-07 05:57:00.479612651+00:00,3.13
2020-12-07 05:58:00.491706382+00:00,3.12
2020-12-07 05:59:00.477175282+00:00,3.11
2020-12-07 06:00:00.894295267+00:00,3.1
2020-12-07 06:00:10.496626054+00:00,3.11
2020-12-07 06:00:15.469710986+00:00,3.1
2020-12-07 06:00:25.466887841+00:00,3.11
2020-12-07 06:00:35.472849588+00:00,3.1
2020-12-07 06:00:45.476796333+00:00,3.11
2020-12-07 06:01:00.478302308+00:00,3.1
2020-12-07 06:02:00.477783197+00:00,3.09
2020-12-07 06:03:00.465900126+00:00,3.08
2020-12-07 06:04:00.455970947+00:00,3.07
2020-12-07 06:05:00.492427172+00:00,3.06
